,gym_name,overall_rating,review_text,date
11,Gold's Gym,3.0,"I've been coming to this gym on and off for over a decade and although not anything amazing, the gym has improved over the years. Some trainers (like Juan) know what they're doing, others appear to be clueless. Powerlifting and Olympic lifting equipment has been added recently and is appreciated, however there is a distinct lack of cable stations. Upkeep on equipment is haphazard. Currently the leg extension machine is nearly inoperable with adjustment mechanisms needing extreme force, and padding extremely minimal by the shins. Gym has reduced hours on weekends, closing at 8pm on Saturdays and I believe 7pm on Sundays. Extremely frustrating for users. This gym is superior to others nearby like the Coop or ARC, however would not recommend it for those living nearby other locations or other gyms. ",a year ago
12,Gold's Gym,1.0,"What an experience. After years of bejng a Fitness World member, wanted to give this Gold Gym another try after I heard about the remodelling. Signed up for free pass and booked an appointment for a tour according to policy. Went to the gym to use my free pass next morning, but was offered to use the drop-in for 16.75 instead because nobody was there to do the tour. Nowhere does it say on the signup process that I can only use the free pass on the day of the tour, it only asks to book a time. That s one way to lose a member",a year ago
13,Gold's Gym,5.0,"The atmosphere of the gym is so good . But more importantly is the trainers . I have been trained with Ariana for more than 30 sessions . She is so professional , patient and friendly, just made each session so much fun ! Really enjoy my personal traning here with her !",a year ago
14,Gold's Gym,4.0,"I like it here mainly for the opening hours, it is clean and good space. but there are some things that need improvement, especially for women training: there is no seated leg curl machine in the gym (basic equipment) and the seated leg flexion is very uncomfortable.",10 months ago
15,Gold's Gym,5.0,the customer service here was amazing: front desk was super receptive even though I was new to this gym! Will definitely be considering joining :),9 months ago
16,Gold's Gym,5.0,"Excellent customer service by Shaiyan!! He was extremely patient and understanding, and did his best to provide a personalized membership option best-suited for my needs. Much appreciated!",8 months ago
17,Gold's Gym,2.0,"Good gym, but they ve allowed too many members to join, making wait times ridiculously long given the already limited bits of equipment, whether you re there in the morning, at lunch, after work or even the last hour till close.",11 months ago
18,Gold's Gym,2.0,I rarely leave bad reviews and feel like a Karen doing this but I hope this will help further customers: It  doesn't say anywhere on their website that your have to give a cancellation notice of 30 days before actually being able to cancel. Therefor I'm going to charged 21$ bi weekly until it gets cancelled.Waste of money..You receive an email to later contact the cancellation department yourself. Unapologetic tone from staff named Dylan. Even if it's not his fault and he does not decide this method of cancellation.Perhaps putting that info on the membership experience page would make sense. ,a year ago
19,Gold's Gym,5.0,"I strongly recommend this place! The gym could be busy sometimes, but the people there are super nice. Ariana is an amazing personal trainer, I would give her 10 out of 5 if I could!!",a year ago
20,Gold's Gym,5.0,"Gym is good, I ve been working out here for more than 2 years. Just hope you can stop playing Hardstyle EDM in the future please!!! It s really disturbing. Appreciate!",a year ago
21,Gold's Gym,1.0,sam seemed very abrasive just because I expressed reluctance to give up all my personal info just for a 90 second tour of the gym. I *very* politely apologized for my hesitation in giving away my info but was still met with passive aggressive hostility. Josh was cool though. sam appeared to make a comment about  me as I walked away.,a year ago
22,Gold's Gym,5.0,"Very good experience overall! Ariana is an absolutely amazing trainer. She is so sweet, understanding and helpful.",a year ago
23,Gold's Gym,1.0,Horrendous customer service. Asked a simple question and took weeks to reply one email. Just wanted to transfer gym membership and it still hasn t been resolved. I am really curious about what took so long. -unsatisfied-,a year ago
24,Gold's Gym,1.0,Can we have a better foam roller? How EXPENSIVE could it cost?,5 months ago
25,Gold's Gym,1.0,This is a $10 drop in gym at best. Idk what these mf s smokin  to thing this is worth a $20 drop in fee. Ridiculous.,9 months ago
26,Gold's Gym,5.0,"Great gym, nice staff, Chris was a big help when signing up.",a year ago
27,Gold's Gym,1.0,"You can do better opening on time, it s 6:50, and I ve waited since 5:50, you are still not opened. Thanks",11 months ago
28,Gold's Gym,5.0,"If you're looking to work out everything, especially legs, this is the place to go.",7 months ago
29,Gold's Gym,1.0,"Unfortunately, it seems their customer service is unable to respond to inquiries. I sent an email to them seeking assistance with a membership, and have not gotten a response for over a week.",a year ago
30,Gold's Gym,1.0,"I arrived at 7 am, and it was not open, with no explanation or whatsoever",11 months ago
31,Gold's Gym,5.0,Excellent hard core gym.  Good machines,a year ago
32,Gold's Gym,5.0,Great to meet your Gym-Bros.,11 months ago
33,Gold's Gym,5.0,Best equipment and staff in Vancouver.,9 months ago
34,Gold's Gym,1.0,Removed heavy bag,2 months ago
35,Gold's Gym,2.0,"If you're 20 and a bit of a tool, this is the place for you. Otherwise go to the Broadway location",a year ago
36,Gold's Gym,1.0,Way too crowded!,6 months ago
37,Gold's Gym,1.0,STAY AWAY,a year ago
38,Gold's Gym,1.0,Smell bad,a year ago
39,Gold's Gym,1.0,Very bad customer service.,a year ago
40,Gold's Gym,1.0,Horrible customer service,a year ago
41,Robert Lee YMCA,5.0,"I joined the Robert Lee YMCA a couple months ago for the pool, and I just love the place. The environment is great and the pool is kept clean and organized. Above all, the lifeguard staff are what make the place so special. They're all well-trained, supportive and friendly. I've never had such a good time getting in shape. Whatever they're getting paid, it's not enough. Many thanks to the lifeguards!",11 months ago
42,Robert Lee YMCA,4.0,Nice little cafe in the city Center. Toilets available and cheap sandwiches and coffees available. Ideal for a little break after a city tour ! The service was a little bit slow but otherwise I can t say anything negative ! ,7 months ago
43,Robert Lee YMCA,1.0,"The gym itself and facilities are nice  when you can actually use them. They have completely oversold memberships for this gym, and not just in January. It s constantly busy at all times and it s like a jungle during peak times. Six men at one squatting rack - ridiculous and unsafe. There is no floor supervisor / supervision, people set up in the middle of the floor, in front of the racks, anywhere to get in a workout, it s sad and unsafe. They let kids 11-13 year olds run wild in the cool down/ stretch Astro room they jump around off the different exercise balls and equipment. I do not recommend this gym to anyone who is serious about working out.",a month ago
44,Robert Lee YMCA,4.0,Pool - Gym - conference room - elevator to LM should have stairs.  Poor design,a month ago
45,Robert Lee YMCA,5.0,"My recent visit to the YMCA on Burrard Street turned out to be an exhilarating journey into the world of powerlifting. Stepping into the weight room, I was immediately struck by the atmosphere of determination and focus. With a variety of equipment available, I was eager to put my strength to the test. Starting with the barbells, I loaded up plates and began my deadlift session. The smoothness of the bars and the well-maintained equipment allowed me to concentrate fully on my form and technique. As I lifted heavier weights, I could feel myself pushing past my limits, thanks in part to the supportive environment created by fellow gym-goers and staff. Moving on to the squat rack, I found myself immersed in the challenge of conquering increasingly heavier loads. The adjustable safety bars provided peace of mind as I pushed myself to new heights, both physically and mentally. The thrill of completing each set filled me with a sense of accomplishment, driving me to push even further. Finally, I tackled the bench press, where I focused on refining my technique and building strength. The availability of various bench setups catered to my needs, ensuring a comfortable and effective workout. With each rep, I could feel myself getting stronger, inching closer to my fitness goals. Overall, my experience at the YMCA on Burrard Street was nothing short of exceptional. The well-equipped facilities, supportive atmosphere, and dedicated staff made for an unforgettable workout session. Whether you're a seasoned powerlifter or just starting out on your fitness journey, this YMCA is the perfect place to unleash your inner strength and achieve your fitness goals. ",a month ago
46,Robert Lee YMCA,5.0,"Love my swim instructor here and the adult lessons that they offer, the pool is clean and well-maintained. It can get a bit busy on Saturday/Sunday mornings at the pool, but the weekend afternoons are pretty quiet.",2 months ago
47,Robert Lee YMCA,5.0,"I love this Y! Clean place and staff / volunteers are so helpful.  Lots of classes.  I only wished they bring back morning cycling classes during the workweek. Really a great place to hangout.  I mean, workout! ",3 months ago
48,Robert Lee YMCA,1.0,"Original: Immaculate facility & superb staff! A fellow in maintenance named Robert is especially friendly & makes the experience that much more inviting. 10/10 would recommend. Edit: 3+ years after I started going, I had taken a 2 year break from the city in that time & I'm back now and noticing things like some showers that were broken, are STILL not fixed, the steam sauna has been shut down for the WHOLE YEAR & many other issues have arose since the pandemic like poor reception help. I hope they try to fix these issues. EDIT AGAIN: The steam saunas have been shut down for 18+ months now - and it seems like no urgency to have the repairs worked on. There is no reduction in cost either, and many of us go here just to steam after a workout. This is absolutely ridiculous...   I once even tried to apply to work here and help improve things, and they don't take applications, it's only online on their general website - no chance to even speak with anyone running the joint to share some ideas. It needs new management - that is very clear. Edit again again: I called in today (Nov 1), well precisely I called 4 times because no one picked up to put me on hold, but a very kind sounding spanish dude picked up and told me how they finally started demolition in October and it will be open again in February. Although having knowledge about construction, esp. in Vancouver - I can't imagine they'll be finished until April or May. But it's good news to hear that demolition started recently. Edit again again again: (Jan 24 2024) I called in today to inquire about the sauna updates - as I had been hoping to be coming back to this gym soon. I was told today that there have been ADDITIONAL setbacks and it won't be open until the spring time now. What. The. Actual. Fudge ",a month ago
49,Robert Lee YMCA,5.0,"Got the family membership, reasonable price considering all you get. Gym, classes, badminton, squash, Basketball, swimming pool. And they have child minding and other stuff for kids that you have to pay a few dollars extra, but no big deal. My daughter will love it",5 months ago
50,Robert Lee YMCA,2.0,"There is no one monitoring the many who decide to reside in one weight machine, checking phones endlessly and not working out. No management, staff and trainers seem to be in charge.   A large building with a lot of wasted space.",2 months ago
51,Robert Lee YMCA,1.0,I mainly use my membership for swimming pool facility but most of times when I come after work it s super busy with 3-4 people per lane and the rest is classes.,2 months ago
52,Robert Lee YMCA,5.0,"I just joined this gym. Its actually super nice. Plenty of space, lots of machines. Great price given the space and amenities. Lockers also come with a key so u don't have to bring one. Quite a bit of weight sets so you don't have to wait on sets to be available.",a year ago
53,Robert Lee YMCA,4.0,"I love this gym! For $28 dollars a month it is so accessible to so many in Vancouver.     the facilities are pretty good! It s lovely that spin classes are offered here, yoga classes and volleyball. My suggestions would be: the dance classes take up the large gymnasium and have very few people who attend, and the yoga classes are always FULLY booked  can those swap locations so more people can attend yoga? Also, there are so many gym times for basketball and 1 volleyball session a week that isn t at 6am  would it be possible to create more time for volleyball because every Friday it is packed and you hardly get any playing time in! Thanks :)",a year ago
54,Robert Lee YMCA,4.0,"Clean, well organized setup. Good free classes. Friendly staff. Nice pool and other facilities. Only con is that the swipe cards have no user-specific identification on them so if you lose your card and it gets returned, the card (probably) gets recycled and the you have to pay $5 for a new card. ",a year ago
55,Robert Lee YMCA,4.0,"Good gym but hardly anyone at the gym desk to help out. Seems understaffed, especially at peak hours. My review will change when they decide to actually have adequate staff during busy periods. Edit: seems like some more people are on the floor currently. ",11 months ago
56,Robert Lee YMCA,5.0,Large clean facility with many amenities,5 months ago
57,Robert Lee YMCA,2.0,"This place has become a maintenance disaster. Members are locked out of their own lockers (sometimes left naked until the fire department is called), the men s steam room has been closed 9 of the last 12 months, hot tubs are in and out of commission, water dispensers broken  it certainly makes one wonder about the safety of the gym equipment. For the price they re charging, members deserve better.",a year ago
58,Robert Lee YMCA,3.0,"The shower room is big and clean.  Excellent location in downtown. For the pool, the width for medium and fast lane is too small that it is basically not possible to have more than one person to swim there, it is easy to hit the others who swim from the opposite direction.  Quite a lot of swimming classes there which would take up the lanes.  Counter staff looks tired, no smiling...will not recommend it if you are looking for swimming. ",a year ago
59,Robert Lee YMCA,3.0,They need to start emailing Plus members when the hot tub is closed. Some of us travel long distances to this location and I wouldn t if I knew none of the amenities are available. Of course the steam room has been closed an insanely long time and no financial concessions have been made to members despite not getting what we paid for.,11 months ago
60,Robert Lee YMCA,5.0,"I love the Y. Lots of great classes, excellent personal trainers, and modern equipment. The pool is fabulous and the locker rooms are always clean. 5 stars, 2 thumbs up,  and no hesitation about recommending this place to all ages and genders.",a year ago
61,Robert Lee YMCA,5.0,"I always go swimming every Monday morning and both the lifeguards are always super nice to me. Everyone always has a smile on their face and it's a super welcoming environment. Last week, I even saw the lifeguards giving some swimming tips to a member. Nice to see such care and enthusiasm towards the members. The pool is nice and clean and not too busy in the late mornings. ",a year ago
62,Robert Lee YMCA,1.0,"There s no consequences for man spiting in the pool. That s already a public health concern, not a cultural thing",4 months ago
63,Robert Lee YMCA,1.0,"Beware of this organization's membership cancellation money scam. Members wishing to cancel their membership, subsequent to placing it on hold in response to the suspension of available facility services, who are unable to resume visitation as a result of services still being unavailable 16 weeks later, will have to make 2 payments before their membership is canceled. One at the end of the hold period, and another 14 days later (1 day before the 15-day hold cancellation requirement is met). For Men's Plus members that amounts to over $100 for nothing.",a year ago
64,Robert Lee YMCA,1.0,"Nice variety of equipment that is well maintained.  Staff is also very friendly and helpful.  I really enjoy my workout here and love the variety of cardio equipment. But... thing is now that covid is over, its turning back into a zoo gym. Getting busier and busier all day, every day - morning, noon, early afternoon, evening, no matter which time you go, there's no avoiding the crowds.  Usually have to wait a while for equipment most times which is a bummer.   It's too bad as I live near this place and it's really convenient. Also, good luck getting into any yoga classes.  They release the time slots at midnight every night and get taken up within seconds. Even the waiting list gets taken up.  For those that aren't up that late, it's a little unfair. Ultimately, I might look into a different gym if it gets busier than it is. Update: After giving this gym a fair chance and trying different hours (morning, late morning and mid day) you can never win with the crowds here.   It's gotten so bad that you'll be lucky to be able to complete a full workout due to all the floor space, machines and racks being used up (with a line to get on each area).  Even if your patient and wait your turn for a machine, people will hound you during your set making you feel rushed.    Sure, its got good equipment but what's the point in having great equipment if you can never use it! The YMCA charges way too much for being a zoo gym and can't justify the cost.  Will never understand how people give places like these good reviews.  They really seem love paying high prices for waiting in lines in overcrowded places. ",10 months ago
65,Robert Lee YMCA,5.0,"Great cheap place for workouts with a nice pool as well! 5 squat racks, 2 flat benches, a good amount of machines, and some dumbbells going up to 100lbs! Also has a pretty good cafe that has cheap protein snacks. ",a year ago
66,Robert Lee YMCA,5.0,Amazing gym and very clean building. One huge request from management though. Please open at least one squash court. Not many places in the city have a squash court and its barely used by others for working out. Would be amazing if we can use it again like in 2019. Thank you :) ,11 months ago
67,Robert Lee YMCA,3.0,"There's good and bad. I'll start with the bad. It's a gym that seems to have everything but not everything is working or is being used for what it's designed for. For instance, it's probably the only fitness gym downtown with a full-sized basketball court, but instead of it being used to play basketball it has an artificial wall in place that separates one half of the court from the other so those who do want to play basketball are cramped together using 3 baskets with minimal space. But interestingly that wall is removed when the gym gets used for badminton and/or vollyeball. Also none of the steam rooms are operational right now and haven't been for some time. The good. Has a lot of cardio machines, plenty of free weights and weight machines, yoga rooms for stretching, and even rooms for crossfit style exercise. They have a lot of classes available if that's your thing and a very nice, large swimming pool with a lengthy hot tub nearby. There's parking underneath for about $3.00 per 1.5 hours if you need to drive and a nice cafe with quick bites, coffee, and a variety of soft beverages for sale in the main lobby. They have what's known as a plus membership which basically just allows you access to a more exclusive locker room that currently has a non-functional sauna, an exclusive hot tub, nicer lockers, and towel service (although these aren't face towels for working out, just large towels for drying after a shower). Not quite worth the $50 plus every couple weeks in my opinion so I just go with the standard. ",a year ago
68,Robert Lee YMCA,1.0,"This place is the elitist community center. They discriminate against people for not having a credit card. You shouldn't need a cc to be able to utilize a YMCA monthly pass in any TIER, especially the plus memberships. Those are the kind of things that make a difference to people who NEED IT. They also never paid me back for my lost time from covid. After they closed they said they would. When I came back I wasn't even in the system anymore. ROBERT LEE should be embarrassed to see how inefficiently this building is at helping the people who need it below middle class. I hope they wake up and start treating everyone equally.",9 months ago
69,Robert Lee YMCA,3.0,"Hours are too limited. It closes too early, especially on weekends. Pool hours are very limited. It is relatively expensive at around $80/month general membership for the hours it operates. Parking is very very limited and expensive and the city, while not the fault of the YMCA, continues to make it more so. It used to be much better in all these regards.",a year ago
70,Robert Lee YMCA,1.0,"Great facility although $72 a month is too much. Steam room mens not in service still, ridiculous hence the low stars",7 months ago
71,Robert Lee YMCA,1.0,"Member Services are poorly trained, not equipped with the minimum requirement to proper inform patrons about the facility. Mix information with different member services representatives! Would highly advise looking elsewhere as this place is extremely poorly operated.",8 months ago
72,Robert Lee YMCA,2.0,"It is a nice place to practice sports, but when you ask, they do not have accurate information in the month of Marg. I asked about a swimming course. They said they have in the month of May. Come here and register. I went there. They said not because it is in the middle of May. And also .I went they said in the month of June   ... I want one word, not every time something, I want credibility and complete information",9 months ago
73,Robert Lee YMCA,5.0,"Been going here for years, absolutely love the place. Incredibly well kept facilities, pleasant staff, great range of classes, workout areas and equipment. 10/10.",10 months ago
74,Robert Lee YMCA,5.0,The facility has a great and very clean pool. It has a varying depth which makes it more versatile. The hot tub is a nice place to chill and chat with people. I found my best friend in the YMCA hot tub.,a year ago
75,Robert Lee YMCA,5.0,"This place is great  . They always have government courses for new comers and are always helping people. I love the course and through them I was able to become and ECEA. Been working for a year and a half now and all I can say is this opportunity has changed my life. Their pool, gym and everything is great. Love the space and how helpful reception are.",a year ago
76,Robert Lee YMCA,3.0,"Too crowded! And they still resist going to their pre-pandemic hours. All popular activities are over crowded and you don't get a chance to register. For instance, Volleyball and Badminton! I am looking into find available spots in Community Centres and will eventually drop my membership with YMCA... ",a year ago
77,Robert Lee YMCA,3.0,There is no shower at women plus   fun story.,a month ago
78,Robert Lee YMCA,1.0,The Plus steam room has been closed for more than 3 yeqrs now and they are still charging the same amount? Like wthell?,4 months ago
79,Robert Lee YMCA,2.0,"Please hire personable and knowledgeable front counter staff. The young lady at the front counter does not know her co-workers, wasn t approachable, or friendly at all. I was almost scared to go up to her and ask a question.",8 months ago
80,Robert Lee YMCA,5.0,The best private volunteer service I found in Vancouver. Visited many of them. Al least the best under 30 years with programs and offers they have. Very thankful for them ),a year ago
81,Robert Lee YMCA,4.0,I love the gym but they should add some more machines since it can get pretty full :) please add another smith machine!!!!,10 months ago
82,Robert Lee YMCA,5.0,New equipment added but membership fees same. Thanks YMCA :) ,4 months ago
83,Robert Lee YMCA,5.0,YMCA is a very quiet and calm place to go for a workout or swim! Very clean!!!! Highly recommended!!!,6 months ago
84,Robert Lee YMCA,5.0,Great facility for fitness and swimming and .... check the web site. Prices may seem high but are a very good value.,10 months ago
85,Robert Lee YMCA,1.0,DONT SUBSCRIBE TO THIS GYM. Their customer services sucks. I have sent a couple of emails to cancel my account but they have just ignored them and keep charging to my credit card. They are stealing my money and I have demanded a refund from them and I m still waiting for it.,a year ago
86,Robert Lee YMCA,1.0,Signed up just over a week ago and was told there was no possible was to wave the $100 enrolment fee. Which is an obvious cash grab. Walk in today to find out there s $0 enrolment fee and that there s no way to credit my account. Super disappointed with this and you ll be losing my membership. Thanks,a year ago
87,Robert Lee YMCA,1.0,"EDIT: No public bathroom as a community centre is truly terrible. Y'all suck. Very clean. And they let me use their bathroom. Although, I am a Y member. No questions though, just ""Go pee there!"" ",9 months ago
88,Robert Lee YMCA,5.0,An excellent facility with a very large range of amenities. I enjoyed my visit here and wish I had a similar facility here in Australia,11 months ago
89,Robert Lee YMCA,1.0,Policies and procedures of this company are deplorable. The equivalent of a  unsubscribe  option on shady scam websites. Employees have a hard time following simple instructions. They charge whatever they want on your cc. ,a year ago
90,Robert Lee YMCA,3.0,It s one of the busiest gyms I have ever seen. It s impossible to use the machines.,7 months ago
91,Robert Lee YMCA,1.0,Frequently closes or reduces operating hours. No fixed schedule and it changes from month to month. Some facilities close and never opens like steam room.,a year ago
92,Robert Lee YMCA,4.0,the cleaner Robert does Excellent work keeps the mens plus change room in top condition cons the steam room always out of order and parking down stairs is expensive and gym up stairs get way to packed to work out,a year ago
93,Robert Lee YMCA,1.0,I learned about a very unhealthy dominant-submissive game that some kids forced mines to play in preschool. unfortunately yesterday I learnt that my daughter was bullied with a younger sibling of a girl that invented that game every single day. My son mentioned one day that older sister once forced him to crawl and follow her. Then she asked another girl to play the same game with my daughter and made her kitty too. The sad and shocking part is the head-instructor admitted that she was aware of all that happened there and she did not share with that tow siblings were bullying my more than a year in Coat Capital Savings preschool. She told me she had asked from my 4 years old daughter if she was ok with that game and she nodded. ,a year ago
94,Robert Lee YMCA,5.0,"There is nothing comparable to this place in all of Canada.  Many options for newcomers, their families and children.  Here I do sports and I am reassured about my little one.",a year ago
95,Robert Lee YMCA,1.0,Men s plus steam room has been closed for over a year .depending on the day the reason/excuse why is hasn t been resolved changes.,9 months ago
96,Robert Lee YMCA,5.0,Shana helped us register as members en 5 minutes while still servicing everyone who was in line on a busy Sunday! Amazing!,a year ago
97,Robert Lee YMCA,3.0,Over crowded. Hard to get hands on on equipments.,5 months ago
98,Robert Lee YMCA,5.0,"Great pricing for what it offers. Gym, swimming pool, basketball, badminton and much more.",10 months ago
99,Robert Lee YMCA,1.0,they don't pick up the freaking phone.,4 months ago
100,Robert Lee YMCA,2.0,They don't care about any inquiry of email. I asked holding and cancellation but no response. My plan hasn't stopped yet lol,a year ago
101,Robert Lee YMCA,1.0,Front staff are very rude!!! men s steam room close for maintenance until summer next year!,a year ago
102,Robert Lee YMCA,1.0,*Rudely waves hand directly in front of your face      How many sets you got left?        ,a year ago
103,Robert Lee YMCA,3.0,Staff is not the friendliest. Also why close early  on Easter Monday if is in not an actual holiday,a year ago
104,Robert Lee YMCA,5.0,The stuff are good and professional.,5 months ago
105,Robert Lee YMCA,5.0,Great for family and physical activities,6 months ago
106,Robert Lee YMCA,5.0,Best place ever . People there very friendly,9 months ago
107,Robert Lee YMCA,4.0,It's a good vibe. Fairly spacious.,9 months ago
108,Robert Lee YMCA,4.0,Crowded but services and machines are nice,11 months ago
109,Robert Lee YMCA,5.0,Great classes with Aquafit,9 months ago
110,Robert Lee YMCA,5.0,Great gym,a year ago
111,Robert Lee YMCA,5.0,"Friendly staffs, clean gym and equipment.",8 months ago
112,Robert Lee YMCA,5.0,Amazing,a year ago
113,Robert Lee YMCA,5.0,"Good openness, stretching zone, weight zone, aerobic zone It's well-distinguished, so there's nothing to get in trouble about. You can enjoy this much for this price. Make me wake up at 7 o'clock A space that makes you feel full even without food thanks..       ,      ,     ,                                                      7                                         .. ",a year ago
114,Equinox W Georgia St,5.0,"I am obsessed with this place. I go seven days a week. It is my second home. Customer service goes the extra mile, instructors are amazing, the process of booking for a class spot seamless through its app (if you really want to get in, just set your alarm so you can book your spot once booking opens up. Simple!) Plus, unlike other clubs/studios, equinox do not charge for last minute cancellations or no show like other clubs/studios. It hones the discipline of showing up by reinforcing ""strikes"" should you fail to cancel booking within a reasonable time. The lounge, steam room, sauna, showers, locker room, always clean and with an attendant present should you need assistance. And, for times when you need a space for your workout (yoga, barre, weights), there is definitely a space that you can use. All in all, I would say, that Equinox stays true to its claim: It's not fitness. It's a lifestyle.",5 months ago
115,Equinox W Georgia St,4.0,"I'm really happy with my experience at Equinox gym in Vancouver. The facility offers excellent equipment, and I appreciate the availability of towels, clean showers, and a sauna/steam room. The variety of classes is a great break from my usual weightlifting routine on the weights floor, and I particularly enjoy the boxing classes. The only downside is that it can get quite busy during rush hour between 4-7pm, so I try to schedule my visits outside of that time frame (-1 star). Overall, I highly recommend the Vancouver Equinox gym.",9 months ago
116,Equinox W Georgia St,5.0,great gym. Vancouver's Best Gym. So many free awesome classes to change up your fitness routine. So many ways to feel motivated. And there is a steam bath plus sauna plus shower plus Kiehls products and free towel service. This place is worth the investment in your health and wellness,a month ago
117,Equinox W Georgia St,5.0,"I have been spending a lot of time in Vancouver lately so wanted to join the BEST club & I really feel it is. Here are the many reasons why. 1) The front desk staff are so friendly and take the time to say hi and use your name! So important in a city that is often not very friendly. 2) The manager Liz took the time to make a phone call to straighten out a booking glitch - that is what customer service used to be & this is so amazing, refreshing and appreciated. 3) The classes are plentiful, outstanding & with kind and extremely talented instructors. 4) The place is the cleanest gym I have ever seen w/ lovely extras throughout. 5) I love that all the class rooms are pre-set up with the mats and towels before you enter and that they take a roll call. I thought it was strange at first, but it really keeps the classes to the capacity intended and makes you accountable to show up. I had read some of reviews before I joined and thought it would be impossible to get into the morning classes that I prefer, but that has not been the case. You have to wake up to book 26 hours before your class and if you are late scheduling yourself it may fill up. However, if you are motivated - you can get in. Certain classes, such as Barr classes tend to fill up, but I heard they may be adding in more soon anyway. Since great companies always strive to improve, I could add that I personally would appreciate more visual instruction to accompany the verbal instructions during classes and maybe some more correcting (teachers walking through the class helping to correct/improve students poses). I have seen it, but rare. I do know that it is hard to please everyone as some people may not want that. My only complaint is that there is not a club in Ottawa! ",5 months ago
118,Equinox W Georgia St,5.0,I have been with Equinox for a few months now and I have been very impressed with how clean the facilities and classes are. The fitness instructors are amazing and I love the variety of classes that are offered throughout the day. Elis is absolutely amazing and extremely helpful in terms of answering all of my questions and fixing any issues that I have had with my membership.,5 months ago
